Topic_01,0.0503,Topic_02,0.0455,Topic_03,0.0450,Topic_04,0.0450,Topic_05,0.0536,Topic_06,0.0455,Topic_07,0.0461,Topic_08,0.0653,Topic_09,0.0605,Topic_10,0.0434,Topic_11,0.0541,Topic_12,0.0503,Topic_13,0.0514,Topic_14,0.0396,Topic_15,0.0530,Topic_16,0.0509,Topic_17,0.0584,Topic_18,0.0477,Topic_19,0.0530,Topic_20,0.0412,
2 (D=519),0.2447,2 (D=519),0.3412,1 (D=148),0.3452,10 (D=251),0.2738,10 (D=251),0.3200,2 (D=519),0.3294,2 (D=519),0.1977,8 (D=83),0.4590,1 (D=148),0.3628,2 (D=519),0.4074,2 (D=519),0.6139,10 (D=251),0.2979,2 (D=519),0.3750,2 (D=519),0.4730,2 (D=519),0.3535,2 (D=519),0.4211,2 (D=519),0.2385,4 (D=126),0.4719,2 (D=519),0.2626,2 (D=519),0.3117,
10 (D=251),0.2340,10 (D=251),0.1647,2 (D=519),0.3214,7 (D=163),0.2024,7 (D=163),0.2500,10 (D=251),0.1882,4 (D=126),0.1512,13 (D=60),0.3852,2 (D=519),0.2920,1 (D=148),0.1852,4 (D=126),0.0990,2 (D=519),0.2660,10 (D=251),0.1875,9 (D=63),0.1216,10 (D=251),0.2424,4 (D=126),0.2526,10 (D=251),0.2294,11 (D=36),0.2135,10 (D=251),0.2222,7 (D=163),0.2338,
7 (D=163),0.1596,7 (D=163),0.1412,10 (D=251),0.0833,2 (D=519),0.1548,2 (D=519),0.1300,9 (D=63),0.1176,6 (D=17),0.1395,2 (D=519),0.0328,14 (D=22),0.1150,4 (D=126),0.0864,12 (D=37),0.0990,7 (D=163),0.1596,7 (D=163),0.1146,12 (D=37),0.1216,7 (D=163),0.1212,11 (D=36),0.0842,7 (D=163),0.2018,2 (D=519),0.1124,7 (D=163),0.1111,10 (D=251),0.1299,
1 (D=148),0.0957,4 (D=126),0.1059,14 (D=22),0.0595,1 (D=148),0.1190,9 (D=63),0.1000,4 (D=126),0.0824,3 (D=12),0.1047,1 (D=148),0.0246,8 (D=83),0.0442,10 (D=251),0.0617,1 (D=148),0.0297,5 (D=50),0.0745,1 (D=148),0.0833,10 (D=251),0.0676,5 (D=50),0.0606,8 (D=83),0.0526,8 (D=83),0.0642,1 (D=148),0.0225,1 (D=148),0.1010,1 (D=148),0.1039,
5 (D=50),0.0957,12 (D=37),0.0706,8 (D=83),0.0357,5 (D=50),0.0833,1 (D=148),0.0500,5 (D=50),0.0706,7 (D=163),0.0930,9 (D=63),0.0164,10 (D=251),0.0354,9 (D=63),0.0494,7 (D=163),0.0297,4 (D=126),0.0532,5 (D=50),0.0625,4 (D=126),0.0541,4 (D=126),0.0505,1 (D=148),0.0421,9 (D=63),0.0550,6 (D=17),0.0225,5 (D=50),0.0707,9 (D=63),0.0390,
8 (D=83),0.0426,1 (D=148),0.0471,9 (D=63),0.0357,9 (D=63),0.0476,8 (D=83),0.0400,1 (D=148),0.0471,10 (D=251),0.0930,10 (D=251),0.0164,9 (D=63),0.0265,7 (D=163),0.0370,10 (D=251),0.0297,8 (D=83),0.0319,9 (D=63),0.0625,6 (D=17),0.0270,1 (D=148),0.0303,13 (D=60),0.0421,13 (D=60),0.0459,8 (D=83),0.0225,4 (D=126),0.0505,14 (D=22),0.0390,
9 (D=63),0.0426,5 (D=50),0.0235,7 (D=163),0.0238,4 (D=126),0.0357,5 (D=50),0.0300,8 (D=83),0.0353,11 (D=36),0.0581,3 (D=12),0.0082,13 (D=60),0.0265,12 (D=37),0.0370,5 (D=50),0.0198,1 (D=148),0.0213,3 (D=12),0.0208,7 (D=163),0.0270,3 (D=12),0.0303,7 (D=163),0.0211,1 (D=148),0.0367,9 (D=63),0.0225,9 (D=63),0.0505,3 (D=12),0.0260,
4 (D=126),0.0213,11 (D=36),0.0235,13 (D=60),0.0238,3 (D=12),0.0119,12 (D=37),0.0200,12 (D=37),0.0353,1 (D=148),0.0349,4 (D=126),0.0082,4 (D=126),0.0177,14 (D=22),0.0370,9 (D=63),0.0198,9 (D=63),0.0213,6 (D=17),0.0208,11 (D=36),0.0270,9 (D=63),0.0303,14 (D=22),0.0211,12 (D=37),0.0367,10 (D=251),0.0225,12 (D=37),0.0505,5 (D=50),0.0260,
3 (D=12),0.0106,14 (D=22),0.0235,3 (D=12),0.0119,6 (D=17),0.0119,3 (D=12),0.0100,6 (D=17),0.0235,5 (D=50),0.0349,5 (D=50),0.0082,5 (D=50),0.0177,8 (D=83),0.0247,3 (D=12),0.0099,13 (D=60),0.0213,12 (D=37),0.0208,1 (D=148),0.0135,6 (D=17),0.0202,3 (D=12),0.0105,4 (D=126),0.0275,12 (D=37),0.0225,11 (D=36),0.0202,6 (D=17),0.0260,
