Topic_01,0.0471,Topic_02,0.0477,Topic_03,0.0589,Topic_04,0.0439,Topic_05,0.0396,Topic_06,0.0455,Topic_07,0.0637,Topic_08,0.0423,Topic_09,0.0359,Topic_10,0.0648,Topic_11,0.0562,Topic_12,0.0739,Topic_13,0.0487,Topic_14,0.0509,Topic_15,0.0418,Topic_16,0.0520,Topic_17,0.0466,Topic_18,0.0514,Topic_19,0.0428,Topic_20,0.0461,
10 (D=251),0.2955,2 (D=519),0.4270,2 (D=519),0.3727,4 (D=126),0.4268,1 (D=148),0.3108,2 (D=519),0.5059,2 (D=519),0.3109,2 (D=519),0.3544,2 (D=519),0.3134,10 (D=251),0.2893,10 (D=251),0.3238,8 (D=83),0.4203,2 (D=519),0.5714,10 (D=251),0.2526,2 (D=519),0.2821,2 (D=519),0.3402,2 (D=519),0.2529,2 (D=519),0.4271,2 (D=519),0.3500,10 (D=251),0.2558,
1 (D=148),0.1591,4 (D=126),0.0899,1 (D=148),0.2273,11 (D=36),0.2073,2 (D=519),0.1622,4 (D=126),0.2353,10 (D=251),0.2353,10 (D=251),0.1519,9 (D=63),0.2239,2 (D=519),0.2479,7 (D=163),0.2190,13 (D=60),0.3551,1 (D=148),0.1319,2 (D=519),0.2211,7 (D=163),0.1410,10 (D=251),0.1959,4 (D=126),0.1379,1 (D=148),0.1667,7 (D=163),0.1875,2 (D=519),0.2442,
7 (D=163),0.1364,12 (D=37),0.0787,14 (D=22),0.1000,2 (D=519),0.1220,14 (D=22),0.1216,1 (D=148),0.0588,7 (D=163),0.1681,4 (D=126),0.1266,1 (D=148),0.0746,7 (D=163),0.2479,2 (D=519),0.1810,2 (D=519),0.1159,12 (D=37),0.0989,7 (D=163),0.1579,10 (D=251),0.1410,1 (D=148),0.1546,10 (D=251),0.1149,10 (D=251),0.0833,10 (D=251),0.1875,9 (D=63),0.1512,
4 (D=126),0.1136,1 (D=148),0.0562,10 (D=251),0.0818,1 (D=148),0.0366,7 (D=163),0.1081,11 (D=36),0.0353,9 (D=63),0.0924,7 (D=163),0.1139,8 (D=83),0.0746,9 (D=63),0.0496,5 (D=50),0.1333,1 (D=148),0.0217,10 (D=251),0.0330,1 (D=148),0.1263,4 (D=126),0.1282,12 (D=37),0.0825,7 (D=163),0.1034,4 (D=126),0.0729,4 (D=126),0.0750,7 (D=163),0.1163,
5 (D=50),0.1136,3 (D=12),0.0562,4 (D=126),0.0727,8 (D=83),0.0366,9 (D=63),0.0676,6 (D=17),0.0235,5 (D=50),0.0588,9 (D=63),0.0633,4 (D=126),0.0597,8 (D=83),0.0413,9 (D=63),0.0286,10 (D=251),0.0145,4 (D=126),0.0220,5 (D=50),0.0947,1 (D=148),0.0897,7 (D=163),0.0619,12 (D=37),0.0805,7 (D=163),0.0521,5 (D=50),0.0500,1 (D=148),0.0930,
2 (D=519),0.0455,8 (D=83),0.0562,8 (D=83),0.0364,5 (D=50),0.0244,4 (D=126),0.0405,9 (D=63),0.0235,6 (D=17),0.0504,1 (D=148),0.0506,5 (D=50),0.0448,1 (D=148),0.0248,3 (D=12),0.0190,12 (D=37),0.0145,9 (D=63),0.0220,12 (D=37),0.0421,11 (D=36),0.0897,4 (D=126),0.0412,3 (D=12),0.0690,9 (D=63),0.0521,9 (D=63),0.0250,5 (D=50),0.0349,
14 (D=22),0.0341,10 (D=251),0.0449,9 (D=63),0.0273,6 (D=17),0.0244,5 (D=50),0.0405,10 (D=251),0.0235,1 (D=148),0.0168,6 (D=17),0.0253,11 (D=36),0.0448,11 (D=36),0.0165,6 (D=17),0.0190,3 (D=12),0.0072,11 (D=36),0.0220,4 (D=126),0.0211,8 (D=83),0.0256,13 (D=60),0.0309,6 (D=17),0.0690,8 (D=83),0.0417,11 (D=36),0.0250,12 (D=37),0.0233,
6 (D=17),0.0227,11 (D=36),0.0449,5 (D=50),0.0182,9 (D=63),0.0244,10 (D=251),0.0405,13 (D=60),0.0235,3 (D=12),0.0168,11 (D=36),0.0253,13 (D=60),0.0448,12 (D=37),0.0165,8 (D=83),0.0190,4 (D=126),0.0072,13 (D=60),0.0220,9 (D=63),0.0211,12 (D=37),0.0256,5 (D=50),0.0206,1 (D=148),0.0460,3 (D=12),0.0208,12 (D=37),0.0250,3 (D=12),0.0116,
9 (D=63),0.0227,13 (D=60),0.0449,13 (D=60),0.0182,10 (D=251),0.0244,8 (D=83),0.0270,3 (D=12),0.0118,4 (D=126),0.0084,12 (D=37),0.0253,7 (D=163),0.0299,13 (D=60),0.0165,1 (D=148),0.0095,5 (D=50),0.0072,14 (D=22),0.0220,3 (D=12),0.0105,3 (D=12),0.0128,8 (D=83),0.0206,8 (D=83),0.0345,6 (D=17),0.0208,1 (D=148),0.0125,4 (D=126),0.0116,
3 (D=12),0.0114,7 (D=163),0.0337,3 (D=12),0.0091,12 (D=37),0.0244,11 (D=36),0.0270,5 (D=50),0.0118,8 (D=83),0.0084,3 (D=12),0.0127,10 (D=251),0.0299,14 (D=22),0.0165,4 (D=126),0.0095,6 (D=17),0.0072,3 (D=12),0.0110,6 (D=17),0.0105,5 (D=50),0.0128,3 (D=12),0.0103,11 (D=36),0.0345,13 (D=60),0.0208,3 (D=12),0.0125,6 (D=17),0.0116,
8 (D=83),0.0114,5 (D=50),0.0225,6 (D=17),0.0091,3 (D=12),0.0122,3 (D=12),0.0135,7 (D=163),0.0118,11 (D=36),0.0084,5 (D=50),0.0127,3 (D=12),0.0149,3 (D=12),0.0083,11 (D=36),0.0095,7 (D=163),0.0072,5 (D=50),0.0110,8 (D=83),0.0105,6 (D=17),0.0128,6 (D=17),0.0103,5 (D=50),0.0230,5 (D=50),0.0104,6 (D=17),0.0125,8 (D=83),0.0116,
11 (D=36),0.0114,6 (D=17),0.0225,7 (D=163),0.0091,7 (D=163),0.0122,6 (D=17),0.0135,8 (D=83),0.0118,12 (D=37),0.0084,8 (D=83),0.0127,6 (D=17),0.0149,4 (D=126),0.0083,12 (D=37),0.0095,9 (D=63),0.0072,6 (D=17),0.0110,11 (D=36),0.0105,9 (D=63),0.0128,9 (D=63),0.0103,9 (D=63),0.0115,11 (D=36),0.0104,8 (D=83),0.0125,11 (D=36),0.0116,
12 (D=37),0.0114,9 (D=63),0.0112,11 (D=36),0.0091,13 (D=60),0.0122,12 (D=37),0.0135,12 (D=37),0.0118,13 (D=60),0.0084,13 (D=60),0.0127,12 (D=37),0.0149,5 (D=50),0.0083,13 (D=60),0.0095,11 (D=36),0.0072,7 (D=163),0.0110,13 (D=60),0.0105,13 (D=60),0.0128,11 (D=36),0.0103,13 (D=60),0.0115,12 (D=37),0.0104,13 (D=60),0.0125,13 (D=60),0.0116,
13 (D=60),0.0114,14 (D=22),0.0112,12 (D=37),0.0091,14 (D=22),0.0122,13 (D=60),0.0135,14 (D=22),0.0118,14 (D=22),0.0084,14 (D=22),0.0127,14 (D=22),0.0149,6 (D=17),0.0083,14 (D=22),0.0095,14 (D=22),0.0072,8 (D=83),0.0110,14 (D=22),0.0105,14 (D=22),0.0128,14 (D=22),0.0103,14 (D=22),0.0115,14 (D=22),0.0104,14 (D=22),0.0125,14 (D=22),0.0116,
