Topic_01,0.0461,Topic_02,0.0750,Topic_03,0.0407,Topic_04,0.0461,Topic_05,0.0562,Topic_06,0.0514,Topic_07,0.0391,Topic_08,0.0777,Topic_09,0.0482,Topic_10,0.0380,Topic_11,0.0648,Topic_12,0.0541,Topic_13,0.0487,Topic_14,0.0455,Topic_15,0.0412,Topic_16,0.0503,Topic_17,0.0402,Topic_18,0.0477,Topic_19,0.0396,Topic_20,0.0493,
2 (D=519),0.3953,7 (D=163),0.3357,2 (D=519),0.2895,4 (D=126),0.4070,2 (D=519),0.4095,2 (D=519),0.6250,2 (D=519),0.3425,8 (D=83),0.4483,2 (D=519),0.2444,4 (D=126),0.1972,2 (D=519),0.3140,1 (D=148),0.3663,10 (D=251),0.2088,2 (D=519),0.4588,2 (D=519),0.3766,2 (D=519),0.5426,2 (D=519),0.4400,2 (D=519),0.3820,7 (D=163),0.3108,10 (D=251),0.2174,
10 (D=251),0.1395,10 (D=251),0.3214,4 (D=126),0.2632,11 (D=36),0.2209,10 (D=251),0.2190,1 (D=148),0.1042,10 (D=251),0.1918,13 (D=60),0.3724,10 (D=251),0.2444,7 (D=163),0.1972,10 (D=251),0.1983,2 (D=519),0.2475,1 (D=148),0.1978,1 (D=148),0.2353,10 (D=251),0.1558,1 (D=148),0.1170,10 (D=251),0.1200,10 (D=251),0.1685,2 (D=519),0.2297,7 (D=163),0.1413,
1 (D=148),0.1163,2 (D=519),0.1286,11 (D=36),0.0921,2 (D=519),0.1163,1 (D=148),0.0952,4 (D=126),0.0625,9 (D=63),0.1370,7 (D=163),0.0276,7 (D=163),0.1889,2 (D=519),0.1549,9 (D=63),0.1157,10 (D=251),0.0891,2 (D=519),0.1868,14 (D=22),0.0706,9 (D=63),0.1169,12 (D=37),0.1170,7 (D=163),0.1067,4 (D=126),0.1124,10 (D=251),0.2027,4 (D=126),0.1196,
4 (D=126),0.0698,1 (D=148),0.0857,12 (D=37),0.0921,9 (D=63),0.0581,7 (D=163),0.0667,12 (D=37),0.0625,7 (D=163),0.0822,9 (D=63),0.0276,5 (D=50),0.1000,10 (D=251),0.1549,7 (D=163),0.0826,14 (D=22),0.0693,7 (D=163),0.1319,7 (D=163),0.0471,1 (D=148),0.0779,10 (D=251),0.0638,1 (D=148),0.0800,5 (D=50),0.0787,4 (D=126),0.0541,5 (D=50),0.1196,
5 (D=50),0.0581,5 (D=50),0.0429,10 (D=251),0.0526,1 (D=148),0.0349,4 (D=126),0.0476,14 (D=22),0.0312,4 (D=126),0.0548,10 (D=251),0.0276,4 (D=126),0.0667,1 (D=148),0.0704,5 (D=50),0.0661,9 (D=63),0.0495,4 (D=126),0.0659,3 (D=12),0.0235,4 (D=126),0.0649,5 (D=50),0.0213,4 (D=126),0.0533,1 (D=148),0.0674,8 (D=83),0.0541,2 (D=519),0.0870,
7 (D=163),0.0465,4 (D=126),0.0143,6 (D=17),0.0395,10 (D=251),0.0349,8 (D=83),0.0476,6 (D=17),0.0208,1 (D=148),0.0411,2 (D=519),0.0207,11 (D=36),0.0444,5 (D=50),0.0423,6 (D=17),0.0413,7 (D=163),0.0396,9 (D=63),0.0549,8 (D=83),0.0235,3 (D=12),0.0260,6 (D=17),0.0213,9 (D=63),0.0533,9 (D=63),0.0449,9 (D=63),0.0270,6 (D=17),0.0870,
9 (D=63),0.0349,8 (D=83),0.0143,8 (D=83),0.0395,14 (D=22),0.0349,5 (D=50),0.0381,10 (D=251),0.0208,5 (D=50),0.0411,3 (D=12),0.0138,6 (D=17),0.0222,8 (D=83),0.0423,12 (D=37),0.0413,8 (D=83),0.0396,5 (D=50),0.0330,9 (D=63),0.0235,7 (D=163),0.0260,9 (D=63),0.0213,12 (D=37),0.0267,12 (D=37),0.0449,11 (D=36),0.0270,3 (D=12),0.0652,
13 (D=60),0.0349,14 (D=22),0.0143,1 (D=148),0.0263,7 (D=163),0.0233,9 (D=63),0.0190,3 (D=12),0.0104,11 (D=36),0.0274,6 (D=17),0.0138,9 (D=63),0.0222,11 (D=36),0.0423,4 (D=126),0.0331,12 (D=37),0.0297,12 (D=37),0.0330,10 (D=251),0.0235,8 (D=83),0.0260,13 (D=60),0.0213,13 (D=60),0.0267,7 (D=163),0.0337,1 (D=148),0.0135,1 (D=148),0.0435,
8 (D=83),0.0233,3 (D=12),0.0071,3 (D=12),0.0263,3 (D=12),0.0116,3 (D=12),0.0095,5 (D=50),0.0104,3 (D=12),0.0137,12 (D=37),0.0138,1 (D=148),0.0111,9 (D=63),0.0282,3 (D=12),0.0248,3 (D=12),0.0198,14 (D=22),0.0330,11 (D=36),0.0235,11 (D=36),0.0260,14 (D=22),0.0213,14 (D=22),0.0267,3 (D=12),0.0112,3 (D=12),0.0135,9 (D=63),0.0435,
