1 (D=148),0.0878,2 (D=519),0.3264,3 (D=12),0.0142,4 (D=126),0.1378,5 (D=50),0.0305,6 (D=17),0.0085,7 (D=163),0.1603,8 (D=83),0.0468,9 (D=63),0.0303,10 (D=251),0.0836,11 (D=36),0.0206,12 (D=37),0.0197,13 (D=60),0.0206,14 (D=22),0.0129,
3873,0.0097,379,0.0091,182,0.0336,3056,0.0095,2544,0.0428,738,0.0905,3008,0.0336,570,0.0373,379,0.0242,379,0.0165,4140,0.0150,291,0.0360,570,0.0253,5655,0.0455,
291,0.0096,402,0.0081,280,0.0333,856,0.0064,81,0.0315,121,0.0157,824,0.0252,258,0.0256,2499,0.0198,635,0.0126,64,0.0136,2757,0.0170,10309,0.0217,635,0.0356,
437,0.0076,81,0.0072,209,0.0125,5063,0.0063,3643,0.0200,158,0.0151,1329,0.0168,121,0.0184,318,0.0138,515,0.0122,121,0.0134,6114,0.0155,3213,0.0095,1499,0.0313,
2022,0.0076,291,0.0071,270,0.0101,2557,0.0060,5480,0.0163,291,0.0134,14592,0.0168,569,0.0143,277,0.0133,81,0.0108,878,0.0131,223,0.0140,1685,0.0088,505,0.0279,
258,0.0070,258,0.0063,56,0.0087,258,0.0055,84,0.0142,1038,0.0134,6448,0.0167,3500,0.0136,448,0.0130,277,0.0108,11238,0.0093,8089,0.0137,692,0.0086,2231,0.0275,
1474,0.0068,203,0.0062,74,0.0087,121,0.0046,3777,0.0142,1857,0.0122,17670,0.0167,1016,0.0135,230,0.0118,521,0.0095,14419,0.0084,5754,0.0132,2644,0.0083,1052,0.0260,
81,0.0066,352,0.0050,127,0.0087,402,0.0044,3003,0.0139,10707,0.0116,1258,0.0122,3862,0.0131,203,0.0117,258,0.0095,5551,0.0081,4722,0.0112,2970,0.0076,3602,0.0260,
3884,0.0058,70,0.0043,6910,0.0087,5464,0.0040,3453,0.0136,3284,0.0105,84,0.0120,1774,0.0118,291,0.0107,121,0.0092,200,0.0079,10060,0.0090,3981,0.0076,1404,0.0248,
2557,0.0056,311,0.0042,30,0.0083,23,0.0037,4436,0.0113,881,0.0099,1034,0.0106,534,0.0117,510,0.0096,534,0.0088,810,0.0076,277,0.0082,13846,0.0076,3143,0.0245,
1709,0.0054,342,0.0041,44,0.0083,81,0.0036,1052,0.0107,1052,0.0099,57,0.0097,712,0.0104,352,0.0094,291,0.0084,311,0.0065,935,0.0082,311,0.0074,1900,0.0241,
2231,0.0050,2557,0.0040,169,0.0083,1016,0.0035,1258,0.0103,3196,0.0099,1663,0.0096,841,0.0103,509,0.0094,1016,0.0081,10967,0.0065,109,0.0077,343,0.0067,3631,0.0237,
402,0.0050,437,0.0039,208,0.0083,6974,0.0033,379,0.0102,14,0.0075,8675,0.0089,104,0.0102,402,0.0088,1258,0.0081,11600,0.0065,1527,0.0077,344,0.0064,7702,0.0237,
101,0.0049,386,0.0038,124,0.0076,461,0.0032,2320,0.0087,1077,0.0075,1794,0.0088,81,0.0098,446,0.0088,633,0.0071,223,0.0062,6127,0.0077,635,0.0062,8235,0.0237,
1441,0.0047,1496,0.0036,267,0.0073,209,0.0028,1876,0.0084,311,0.0064,228,0.0087,8805,0.0091,444,0.0075,821,0.0068,2069,0.0062,3179,0.0072,3220,0.0052,15933,0.0237,
311,0.0040,16673,0.0036,223,0.0069,175,0.0027,3587,0.0074,485,0.0064,1477,0.0087,3608,0.0089,10,0.0073,2644,0.0064,4184,0.0062,84,0.0067,3568,0.0052,3515,0.0233,
1911,0.0040,101,0.0034,263,0.0069,2266,0.0026,12736,0.0068,878,0.0058,2398,0.0087,3867,0.0081,300,0.0070,2557,0.0062,2031,0.0060,311,0.0067,1394,0.0050,9824,0.0233,
121,0.0039,1016,0.0034,10,0.0066,1394,0.0026,2175,0.0060,2313,0.0058,2263,0.0086,352,0.0076,8585,0.0063,311,0.0059,894,0.0057,14921,0.0067,7820,0.0050,392,0.0229,
670,0.0039,2524,0.0032,87,0.0066,2320,0.0026,1845,0.0057,16520,0.0058,3010,0.0085,1049,0.0073,90,0.0060,585,0.0056,7215,0.0057,258,0.0060,3639,0.0048,1061,0.0229,
209,0.0037,1553,0.0031,295,0.0066,21,0.0025,14639,0.0057,109,0.0052,4052,0.0084,324,0.0066,2485,0.0060,203,0.0055,53,0.0055,172,0.0052,537,0.0043,1798,0.0229,
7748,0.0037,343,0.0031,90,0.0062,841,0.0025,1237,0.0053,461,0.0052,18428,0.0084,461,0.0066,315,0.0055,631,0.0053,1001,0.0055,679,0.0052,1853,0.0043,3156,0.0229,
