1 (D=148),0.0873,2 (D=519),0.3272,3 (D=12),0.0142,4 (D=126),0.1373,5 (D=50),0.0301,6 (D=17),0.0083,7 (D=163),0.1594,8 (D=83),0.0471,9 (D=63),0.0306,10 (D=251),0.0848,11 (D=36),0.0208,12 (D=37),0.0195,13 (D=60),0.0205,14 (D=22),0.0128,
3873,0.0098,379,0.0090,182,0.0336,3056,0.0095,2544,0.0430,738,0.0911,3008,0.0338,570,0.0375,379,0.0246,379,0.0158,4140,0.0149,291,0.0380,570,0.0244,5655,0.0453,
291,0.0093,402,0.0081,280,0.0332,856,0.0064,81,0.0325,291,0.0183,824,0.0254,258,0.0254,2499,0.0209,635,0.0112,121,0.0146,2757,0.0171,10309,0.0218,635,0.0357,
437,0.0078,81,0.0075,209,0.0125,5063,0.0063,3643,0.0198,121,0.0154,1329,0.0168,121,0.0182,318,0.0148,515,0.0111,64,0.0139,6114,0.0156,3213,0.0093,1499,0.0319,
2022,0.0077,291,0.0071,270,0.0100,2557,0.0058,5480,0.0165,158,0.0142,14592,0.0168,569,0.0142,448,0.0130,277,0.0110,878,0.0132,223,0.0146,1685,0.0089,505,0.0281,
258,0.0070,258,0.0064,56,0.0087,258,0.0053,3777,0.0147,1038,0.0136,6448,0.0168,1016,0.0136,230,0.0117,1258,0.0103,11238,0.0094,8089,0.0138,692,0.0082,2231,0.0277,
1474,0.0069,203,0.0061,74,0.0087,402,0.0043,84,0.0144,1857,0.0124,17670,0.0168,3500,0.0135,277,0.0117,521,0.0093,14419,0.0083,5754,0.0133,2644,0.0079,1052,0.0261,
81,0.0065,352,0.0049,127,0.0087,121,0.0042,3003,0.0140,3284,0.0118,84,0.0122,3862,0.0131,291,0.0117,81,0.0088,810,0.0080,4722,0.0111,13846,0.0077,3602,0.0258,
2557,0.0061,70,0.0043,6910,0.0087,81,0.0040,3453,0.0132,10707,0.0118,1258,0.0113,534,0.0117,203,0.0114,258,0.0085,5551,0.0080,10060,0.0091,311,0.0074,3143,0.0246,
3884,0.0058,311,0.0043,30,0.0083,5464,0.0040,379,0.0119,14,0.0112,1034,0.0108,1774,0.0117,510,0.0095,534,0.0085,200,0.0076,277,0.0083,2970,0.0074,1404,0.0242,
1709,0.0055,2557,0.0041,44,0.0083,23,0.0037,4436,0.0114,3196,0.0106,57,0.0097,841,0.0104,509,0.0093,291,0.0082,223,0.0076,935,0.0081,3981,0.0074,1900,0.0242,
402,0.0052,342,0.0041,169,0.0083,1016,0.0034,1052,0.0103,881,0.0101,1663,0.0097,104,0.0103,352,0.0087,121,0.0082,311,0.0069,1527,0.0078,344,0.0072,3631,0.0238,
2231,0.0051,386,0.0038,208,0.0083,6974,0.0033,1258,0.0095,1052,0.0089,8675,0.0089,712,0.0103,446,0.0087,1016,0.0074,10967,0.0064,6127,0.0078,635,0.0067,7702,0.0238,
101,0.0050,437,0.0038,124,0.0076,461,0.0033,2320,0.0085,1077,0.0077,1794,0.0088,81,0.0098,402,0.0085,311,0.0068,11600,0.0064,109,0.0076,1394,0.0060,8235,0.0238,
1441,0.0047,1496,0.0036,267,0.0073,209,0.0030,1876,0.0080,485,0.0059,228,0.0088,8805,0.0091,444,0.0076,821,0.0067,4184,0.0061,3179,0.0076,2557,0.0060,15933,0.0238,
1911,0.0041,16673,0.0035,223,0.0069,175,0.0027,3587,0.0072,878,0.0059,1477,0.0087,3608,0.0088,300,0.0069,633,0.0067,53,0.0059,84,0.0073,343,0.0055,3515,0.0234,
209,0.0040,1016,0.0034,263,0.0069,841,0.0026,12736,0.0069,2025,0.0059,2398,0.0087,3867,0.0080,10,0.0068,2644,0.0062,2031,0.0059,14921,0.0068,3568,0.0048,9824,0.0234,
311,0.0040,101,0.0034,193,0.0066,1394,0.0026,2175,0.0057,2313,0.0059,2263,0.0086,352,0.0077,8585,0.0063,585,0.0060,3213,0.0059,172,0.0065,2514,0.0046,392,0.0231,
121,0.0039,1553,0.0032,295,0.0066,2320,0.0026,14639,0.0057,305,0.0053,3010,0.0085,1049,0.0070,2485,0.0061,203,0.0056,2069,0.0057,679,0.0055,1853,0.0043,1061,0.0231,
670,0.0039,344,0.0031,10,0.0062,2266,0.0025,1845,0.0054,1830,0.0053,4052,0.0085,324,0.0067,90,0.0060,2557,0.0056,7215,0.0057,258,0.0053,537,0.0041,1798,0.0231,
7748,0.0037,343,0.0031,81,0.0062,21,0.0024,1237,0.0052,1931,0.0053,18428,0.0085,402,0.0067,315,0.0056,631,0.0053,894,0.0054,5278,0.0053,3639,0.0041,3156,0.0231,
309,0.0036,2524,0.0031,87,0.0062,84,0.0021,534,0.0051,16520,0.0053,1483,0.0085,461,0.0067,2888,0.0051,402,0.0053,899,0.0054,311,0.0050,3115,0.0038,4153,0.0231,
343,0.0035,324,0.0031,90,0.0062,102,0.0021,635,0.0047,10,0.0047,5129,0.0084,344,0.0063,344,0.0050,2066,0.0048,1001,0.0054,1049,0.0050,3270,0.0038,4532,0.0231,
3602,0.0034,371,0.0030,101,0.0062,475,0.0021,291,0.0046,362,0.0047,5173,0.0084,3860,0.0063,127,0.0047,1052,0.0047,175,0.0052,1178,0.0048,5804,0.0038,5654,0.0231,
1016,0.0033,121,0.0030,272,0.0062,2803,0.0021,1001,0.0046,461,0.0047,819,0.0084,618,0.0061,2895,0.0047,343,0.0044,2655,0.0052,1760,0.0048,8396,0.0038,8667,0.0231,
1265,0.0032,3453,0.0029,301,0.0062,2656,0.0021,2348,0.0046,1198,0.0047,182,0.0061,3871,0.0056,311,0.0045,692,0.0043,576,0.0050,4106,0.0048,9795,0.0038,10660,0.0231,
379,0.0031,318,0.0029,46,0.0059,800,0.0020,3167,0.0046,1380,0.0047,76,0.0050,10,0.0054,518,0.0045,252,0.0039,1575,0.0047,387,0.0045,10028,0.0038,14332,0.0231,
23,0.0029,309,0.0026,55,0.0059,3630,0.0020,2833,0.0044,8288,0.0047,874,0.0044,101,0.0051,2832,0.0043,2162,0.0039,6789,0.0047,984,0.0045,1426,0.0036,17545,0.0231,
635,0.0029,1058,0.0026,100,0.0055,223,0.0020,14,0.0038,332,0.0041,291,0.0035,1052,0.0050,3613,0.0043,841,0.0037,7612,0.0047,158,0.0043,9144,0.0036,3955,0.0092,
862,0.0029,341,0.0026,149,0.0055,311,0.0019,270,0.0038,934,0.0041,13111,0.0035,3852,0.0048,386,0.0042,313,0.0036,141,0.0045,3822,0.0043,23,0.0034,1017,0.0062,
203,0.0027,10,0.0025,245,0.0055,183,0.0019,209,0.0036,945,0.0041,521,0.0031,379,0.0047,313,0.0040,982,0.0035,660,0.0045,282,0.0040,65,0.0034,11212,0.0062,
109,0.0026,387,0.0024,298,0.0055,1000,0.0019,290,0.0036,1103,0.0041,448,0.0028,156,0.0043,2522,0.0040,2428,0.0035,8072,0.0045,2721,0.0040,182,0.0034,5287,0.0058,
290,0.0026,2066,0.0024,226,0.0052,3185,0.0019,563,0.0036,1876,0.0041,2942,0.0028,2381,0.0043,101,0.0039,3129,0.0035,39,0.0043,3580,0.0040,303,0.0034,11207,0.0042,
2449,0.0026,862,0.0024,282,0.0052,277,0.0019,1169,0.0036,2281,0.0041,661,0.0027,4800,0.0040,258,0.0039,2449,0.0033,606,0.0043,4296,0.0040,474,0.0034,13567,0.0042,
841,0.0026,2833,0.0024,12,0.0048,508,0.0019,3838,0.0036,2320,0.0041,81,0.0024,2557,0.0033,343,0.0035,309,0.0031,16358,0.0043,1557,0.0038,515,0.0034,338,0.0038,
339,0.0025,515,0.0023,259,0.0048,101,0.0018,5815,0.0036,3571,0.0041,372,0.0024,175,0.0032,1103,0.0035,10,0.0031,84,0.0040,309,0.0035,862,0.0034,1663,0.0038,
800,0.0025,591,0.0023,2282,0.0045,453,0.0018,1663,0.0034,6037,0.0041,172,0.0024,282,0.0031,1215,0.0034,1942,0.0031,115,0.0040,1077,0.0035,1000,0.0034,5140,0.0038,
15066,0.0024,841,0.0023,10035,0.0045,633,0.0018,252,0.0033,14059,0.0041,387,0.0024,535,0.0031,2204,0.0034,101,0.0030,573,0.0040,2002,0.0035,2942,0.0034,1428,0.0031,
183,0.0024,182,0.0023,27,0.0042,862,0.0018,1103,0.0033,14220,0.0041,222,0.0023,876,0.0031,309,0.0032,2499,0.0028,8736,0.0040,5749,0.0035,17,0.0031,4130,0.0031,
521,0.0024,2544,0.0022,51,0.0042,5394,0.0018,3870,0.0033,187,0.0036,311,0.0022,1900,0.0031,841,0.0032,612,0.0028,345,0.0038,555,0.0033,437,0.0031,5696,0.0031,
1404,0.0024,1103,0.0022,176,0.0042,17,0.0018,11627,0.0033,203,0.0036,453,0.0022,1699,0.0029,3350,0.0032,848,0.0028,535,0.0038,1617,0.0033,953,0.0031,1400,0.0027,
2833,0.0024,118,0.0022,254,0.0042,398,0.0018,124,0.0031,290,0.0036,175,0.0022,311,0.0028,3377,0.0032,555,0.0027,560,0.0038,2286,0.0033,1237,0.0031,1889,0.0027,
84,0.0023,353,0.0022,91,0.0038,1553,0.0018,1860,0.0031,296,0.0036,919,0.0020,1875,0.0028,4242,0.0032,591,0.0026,3772,0.0038,4745,0.0033,2295,0.0031,10559,0.0023,
2032,0.0023,270,0.0022,919,0.0038,3515,0.0017,175,0.0029,348,0.0036,258,0.0020,3236,0.0028,118,0.0031,601,0.0026,569,0.0035,5641,0.0033,2518,0.0031,7197,0.0019,
129,0.0023,633,0.0021,2279,0.0038,372,0.0017,353,0.0029,386,0.0036,188,0.0019,9669,0.0027,121,0.0031,129,0.0026,796,0.0035,29,0.0030,2746,0.0031,8914,0.0019,
2391,0.0023,708,0.0021,5061,0.0038,158,0.0016,862,0.0029,414,0.0036,8274,0.0019,209,0.0026,944,0.0031,482,0.0026,2182,0.0035,31,0.0030,3220,0.0031,9045,0.0019,
535,0.0021,6491,0.0020,1,0.0035,1326,0.0016,1077,0.0029,1265,0.0036,4894,0.0018,591,0.0025,1247,0.0031,1076,0.0026,3452,0.0035,182,0.0030,5563,0.0031,11141,0.0019,
1449,0.0021,1911,0.0020,14,0.0035,1103,0.0016,2889,0.0029,2238,0.0036,812,0.0018,3542,0.0025,12154,0.0031,118,0.0025,69,0.0033,183,0.0030,9530,0.0031,11787,0.0019,
1571,0.0021,339,0.0019,47,0.0035,345,0.0016,3121,0.0029,3447,0.0036,3284,0.0018,87,0.0024,81,0.0029,218,0.0025,129,0.0033,345,0.0030,361,0.0029,1219,0.0015,
175,0.0021,374,0.0019,61,0.0035,1900,0.0015,14547,0.0029,4845,0.0036,1900,0.0017,359,0.0024,353,0.0029,305,0.0025,172,0.0033,429,0.0030,1831,0.0029,1935,0.0015,
359,0.0021,359,0.0019,76,0.0035,387,0.0015,3033,0.0028,6290,0.0036,9255,0.0017,1057,0.0024,371,0.0029,453,0.0025,258,0.0033,1258,0.0030,2487,0.0029,3510,0.0015,
