1 (D=148),0.0878,2 (D=519),0.3260,3 (D=12),0.0141,4 (D=126),0.1377,5 (D=50),0.0307,6 (D=17),0.0085,7 (D=163),0.1603,8 (D=83),0.0467,9 (D=63),0.0301,10 (D=251),0.0840,11 (D=36),0.0209,12 (D=37),0.0198,13 (D=60),0.0207,14 (D=22),0.0128,
3873,0.0097,379,0.0089,182,0.0338,3056,0.0095,2544,0.0416,738,0.0892,3008,0.0336,570,0.0376,379,0.0246,379,0.0170,4140,0.0148,291,0.0361,570,0.0245,5655,0.0458,
291,0.0095,402,0.0083,280,0.0335,856,0.0064,81,0.0315,291,0.0190,824,0.0252,258,0.0254,2499,0.0212,635,0.0129,121,0.0141,2757,0.0172,10309,0.0217,635,0.0370,
2022,0.0076,81,0.0075,209,0.0126,5063,0.0063,3643,0.0197,121,0.0150,1329,0.0168,121,0.0172,318,0.0145,277,0.0104,64,0.0139,6114,0.0154,3213,0.0095,1499,0.0316,
258,0.0073,291,0.0072,270,0.0098,2557,0.0059,5480,0.0162,158,0.0132,14592,0.0168,569,0.0143,448,0.0132,515,0.0100,878,0.0122,223,0.0147,1685,0.0088,505,0.0285,
437,0.0073,203,0.0063,56,0.0087,258,0.0054,3777,0.0143,1038,0.0132,6448,0.0167,3500,0.0136,277,0.0122,521,0.0098,11238,0.0096,8089,0.0137,2644,0.0083,2231,0.0266,
1474,0.0068,258,0.0061,74,0.0087,121,0.0044,84,0.0141,1857,0.0121,17670,0.0167,3862,0.0131,230,0.0119,81,0.0098,14419,0.0082,5754,0.0132,344,0.0079,1052,0.0262,
81,0.0063,352,0.0051,127,0.0087,402,0.0044,3003,0.0138,10707,0.0115,84,0.0122,1016,0.0127,291,0.0116,258,0.0094,810,0.0080,4722,0.0109,2970,0.0076,3602,0.0258,
2557,0.0058,70,0.0043,6910,0.0087,5464,0.0040,3453,0.0130,3196,0.0104,1258,0.0116,534,0.0119,203,0.0109,1258,0.0094,5551,0.0078,10060,0.0090,13846,0.0076,1404,0.0250,
3884,0.0058,311,0.0043,30,0.0084,23,0.0038,4436,0.0112,3284,0.0104,1034,0.0107,1774,0.0117,510,0.0100,121,0.0083,200,0.0068,258,0.0082,692,0.0071,3143,0.0247,
1709,0.0054,2557,0.0042,44,0.0084,81,0.0038,379,0.0109,881,0.0098,1663,0.0096,104,0.0104,509,0.0096,534,0.0083,223,0.0066,935,0.0082,3981,0.0069,1900,0.0243,
2231,0.0052,342,0.0041,169,0.0084,1016,0.0034,1052,0.0109,1052,0.0086,57,0.0096,712,0.0104,402,0.0095,1016,0.0073,311,0.0066,109,0.0077,311,0.0057,3631,0.0239,
101,0.0048,437,0.0040,208,0.0084,461,0.0033,1258,0.0099,14,0.0081,8675,0.0089,841,0.0104,446,0.0086,291,0.0071,10967,0.0063,1527,0.0077,343,0.0055,7702,0.0239,
1441,0.0047,386,0.0038,124,0.0077,6974,0.0033,1876,0.0083,1077,0.0075,1794,0.0088,81,0.0094,352,0.0083,821,0.0069,11600,0.0063,6127,0.0077,635,0.0055,8235,0.0239,
402,0.0045,1496,0.0036,263,0.0070,175,0.0029,2320,0.0082,311,0.0069,228,0.0087,8805,0.0092,444,0.0077,633,0.0068,129,0.0061,3179,0.0072,2557,0.0055,15933,0.0239,
